timestamp,activity,heart_rate
19.53,other,101.0
19.64,other,101.0
19.75,other,101.0
19.86,other,101.0
19.97,other,101.0
20.09,other,101.0
20.2,other,101.0
20.31,other,101.0
20.42,other,101.0
20.53,other,101.0
20.64,other,101.0
20.75,other,101.0
20.86,other,101.0
20.97,other,101.0
21.08,other,101.0
21.19,other,101.0
21.3,other,101.0
21.41,other,101.0
21.52,other,101.0
21.63,other,101.0
21.73,other,101.0
21.84,other,101.0
21.95,other,101.0
22.06,other,101.0
22.17,other,101.0
22.28,other,101.0
22.39,other,100.0
22.5,other,100.0
22.61,other,100.0
22.72,other,100.0
22.83,other,100.0
22.94,other,100.0
23.05,other,100.0
23.16,other,100.0
23.27,other,100.0
23.38,other,100.0
23.48,other,100.0
23.59,other,100.0
23.7,other,100.0
23.81,other,100.0
23.92,other,100.0
24.03,other,100.0
24.14,other,99.0
24.25,other,99.0
24.36,other,99.0
24.47,other,99.0
24.58,other,99.0
24.69,other,99.0
24.8,other,99.0
24.91,other,99.0
25.02,other,98.0
25.13,other,98.0
25.23,other,98.0
25.34,other,98.0
25.45,other,98.0
25.56,other,98.0
25.67,other,98.0
25.78,other,98.0
25.89,other,98.0
26.0,other,98.0
26.11,other,98.0
26.22,other,98.0
26.33,other,98.0
26.44,other,98.0
26.55,other,98.0
26.66,other,98.0
26.77,other,97.0
26.88,other,97.0
26.98,other,97.0
27.09,other,97.0
27.2,other,97.0
27.31,other,97.0
27.42,other,97.0
27.53,other,97.0
27.64,other,97.0
27.75,other,97.0
27.86,other,97.0
27.97,other,97.0
28.08,other,97.0
28.19,other,97.0
28.3,other,97.0
28.41,other,97.0
28.52,other,97.0
28.63,other,97.0
28.73,other,97.0
28.84,other,97.0
28.95,other,97.0
29.06,other,97.0
29.17,other,97.0
29.33,other,97.0
29.5,other,97.0
29.61,other,97.0
29.72,other,97.0
29.83,other,97.0
29.94,other,97.0
30.05,other,97.0
30.16,other,97.0
30.27,other,97.0
30.38,other,97.0
30.48,other,97.0
30.59,other,97.0
30.7,other,97.0
30.81,other,97.0
30.92,other,97.0
31.03,other,97.0
31.14,other,98.0
31.25,other,98.0
31.36,other,98.0
31.47,other,98.0
31.58,other,98.0
31.69,other,98.0
31.8,other,98.0
31.91,other,98.0
32.02,other,98.0
32.13,other,98.0
32.23,other,98.0
32.34,other,98.0
32.45,other,98.0
32.56,other,98.0
32.67,other,98.0
32.78,other,98.0
32.89,other,98.0
33.0,other,98.0
33.11,other,98.0
33.22,other,98.0
33.33,other,98.0
33.44,other,98.0
33.55,other,98.0
33.66,other,98.0
33.77,other,98.0
33.88,other,98.0
33.98,other,98.0
34.09,other,98.0
34.2,other,98.0
34.31,other,98.0
34.42,other,98.0
34.53,other,98.0
34.64,other,99.0
34.75,other,99.0
34.86,other,99.0
34.97,other,99.0
35.08,other,99.0
35.19,other,99.0
35.3,other,99.0
35.41,other,99.0
35.52,other,99.0
35.63,other,99.0
35.73,other,99.0
35.84,other,99.0
35.95,other,99.0
36.06,other,99.0
36.17,other,99.0
36.28,other,100.0
36.39,other,100.0
36.5,other,100.0
36.61,other,100.0
36.72,other,100.0
36.83,other,100.0
36.94,other,100.0
37.05,other,100.0
37.16,other,100.0
37.27,other,100.0
37.38,other,100.0
37.48,other,100.0
37.59,other,100.0
37.7,lying,100.0
37.81,lying,100.0
37.92,lying,100.0
38.03,lying,100.0
38.14,lying,101.0
38.25,lying,101.0
38.36,lying,101.0
38.47,lying,101.0
38.58,lying,101.0
38.69,lying,101.0
38.8,lying,101.0
38.91,lying,101.0
39.02,lying,101.0
39.13,lying,101.0
39.23,lying,101.0
39.34,lying,101.0
39.45,lying,101.0
39.56,lying,101.0
39.67,lying,101.0
39.78,lying,101.0
39.89,lying,102.0
40.0,lying,102.0
40.11,lying,102.0
40.22,lying,102.0
40.33,lying,102.0
40.44,lying,102.0
40.55,lying,102.0
40.66,lying,102.0
40.77,lying,102.0
40.88,lying,102.0
40.98,lying,102.0
41.09,lying,102.0
41.2,lying,102.0
41.31,lying,102.0
41.42,lying,102.0
41.53,lying,102.0
41.64,lying,102.0
41.75,lying,102.0
41.86,lying,102.0
41.97,lying,102.0
42.08,lying,102.0
42.19,lying,102.0
42.3,lying,102.0
42.41,lying,102.0
42.52,lying,102.0
42.63,lying,102.0
42.73,lying,102.0
42.84,lying,102.0
42.95,lying,102.0
43.06,lying,102.0
43.17,lying,102.0
43.28,lying,102.0
43.39,lying,102.0
43.5,lying,102.0
43.61,lying,102.0
43.72,lying,102.0
43.83,lying,102.0
43.94,lying,102.0
44.05,lying,102.0
44.16,lying,102.0
44.27,lying,102.0
44.38,lying,102.0
44.48,lying,102.0
44.59,lying,102.0
44.7,lying,102.0
44.81,lying,102.0
44.92,lying,102.0
45.03,lying,102.0
45.14,lying,102.0
45.25,lying,102.0
45.36,lying,102.0
45.47,lying,102.0
45.58,lying,102.0
45.69,lying,102.0
45.8,lying,102.0
45.91,lying,102.0
46.02,lying,102.0
46.13,lying,102.0
46.23,lying,102.0
46.34,lying,102.0
46.45,lying,102.0
46.56,lying,102.0
46.67,lying,102.0
46.78,lying,102.0
46.89,lying,103.0
47.0,lying,103.0
47.11,lying,103.0
47.22,lying,103.0
47.33,lying,103.0
47.44,lying,103.0
47.55,lying,103.0
47.66,lying,103.0
47.77,lying,103.0
47.88,lying,103.0
47.98,lying,103.0
48.09,lying,103.0
48.2,lying,103.0
48.31,lying,103.0
48.42,lying,103.0
48.53,lying,103.0
48.64,lying,103.0
48.75,lying,103.0
48.86,lying,103.0
48.97,lying,103.0
49.08,lying,103.0
49.19,lying,103.0
49.3,lying,103.0
49.41,lying,103.0
49.52,lying,104.0
49.63,lying,104.0
49.73,lying,104.0
49.84,lying,104.0
49.95,lying,104.0
50.06,lying,104.0
50.17,lying,104.0
50.28,lying,104.0
50.39,lying,104.0
50.5,lying,104.0
50.61,lying,104.0
50.72,lying,104.0
50.83,lying,104.0
50.94,lying,104.0
51.05,lying,104.0
51.16,lying,104.0
51.27,lying,105.0
51.38,lying,105.0
51.48,lying,105.0
51.59,lying,105.0
51.7,lying,105.0
51.81,lying,105.0
51.92,lying,105.0
52.03,lying,105.0
52.14,lying,105.0
52.25,lying,105.0
52.36,lying,105.0
52.47,lying,105.0
52.58,lying,105.0
52.69,lying,105.0
52.8,lying,105.0
52.91,lying,105.0
53.02,lying,106.0
53.13,lying,106.0
53.23,lying,106.0
53.34,lying,106.0
53.45,lying,106.0
53.56,lying,106.0
53.67,lying,106.0
53.78,lying,107.0
53.89,lying,107.0
54.0,lying,107.0
54.11,lying,107.0
54.22,lying,107.0
54.33,lying,107.0
54.44,lying,107.0
54.55,lying,107.0
54.66,lying,107.0
54.77,lying,107.0
54.88,lying,107.0
54.98,lying,107.0
55.09,lying,107.0
55.2,lying,107.0
55.31,lying,107.0
55.42,lying,107.0
55.53,lying,107.0
55.64,lying,107.0
55.75,lying,107.0
55.86,lying,107.0
55.97,lying,107.0
56.08,lying,107.0
56.19,lying,107.0
56.3,lying,107.0
56.41,lying,107.0
56.52,lying,107.0
56.63,lying,107.0
56.73,lying,107.0
56.84,lying,107.0
56.95,lying,107.0
57.06,lying,107.0
57.17,lying,107.0
57.28,lying,107.0
57.39,lying,106.0
57.5,lying,106.0
57.61,lying,106.0
57.72,lying,106.0
57.83,lying,106.0
57.94,lying,106.0
58.05,lying,106.0
58.16,lying,106.0
58.27,lying,106.0
58.38,lying,106.0
58.48,lying,106.0
58.59,lying,106.0
58.7,lying,106.0
58.81,lying,106.0
58.92,lying,106.0
59.03,lying,105.0
59.14,lying,105.0
59.25,lying,105.0
59.36,lying,105.0
59.47,lying,105.0
59.58,lying,105.0
59.69,lying,105.0
59.8,lying,105.0
59.91,lying,105.0
60.02,lying,105.0
60.13,lying,105.0
60.23,lying,105.0
60.34,lying,105.0
60.45,lying,105.0
60.56,lying,105.0
60.67,lying,105.0
60.78,lying,105.0
60.89,lying,104.0
61.0,lying,104.0
61.11,lying,104.0
61.22,lying,104.0
61.33,lying,104.0
61.44,lying,104.0
61.55,lying,104.0
61.66,lying,104.0
61.77,lying,104.0
61.88,lying,104.0
61.98,lying,104.0
62.09,lying,104.0
62.2,lying,104.0
62.31,lying,104.0
62.42,lying,104.0
62.53,lying,104.0
62.64,lying,103.0
62.75,lying,103.0
62.86,lying,103.0
62.97,lying,103.0
63.08,lying,103.0
63.19,lying,103.0
63.3,lying,103.0
63.41,lying,103.0
63.52,lying,103.0
63.63,lying,103.0
63.73,lying,103.0
63.84,lying,103.0
63.95,lying,103.0
64.06,lying,103.0
64.17,lying,103.0
64.28,lying,103.0
64.39,lying,102.0
64.5,lying,102.0
64.61,lying,102.0
64.72,lying,102.0
64.83,lying,102.0
64.94,lying,102.0
65.05,lying,102.0
65.16,lying,102.0
65.27,lying,101.0
65.38,lying,101.0
65.48,lying,101.0
65.59,lying,101.0
65.7,lying,101.0
65.81,lying,101.0
65.92,lying,101.0
66.03,lying,101.0
66.14,lying,101.0
66.25,lying,101.0
66.36,lying,101.0
66.47,lying,101.0
66.58,lying,101.0
66.69,lying,101.0
66.8,lying,101.0
66.91,lying,101.0
67.02,lying,100.0
67.13,lying,100.0
67.23,lying,100.0
67.34,lying,100.0
67.45,lying,100.0
67.56,lying,100.0
67.67,lying,100.0
67.78,lying,100.0
67.89,lying,99.0
68.0,lying,99.0
68.11,lying,99.0
68.22,lying,99.0
68.33,lying,99.0
68.44,lying,99.0
68.55,lying,99.0
68.66,lying,99.0
68.77,lying,99.0
68.88,lying,99.0
68.98,lying,99.0
69.09,lying,99.0
69.2,lying,99.0
69.31,lying,99.0
69.42,lying,99.0
69.53,lying,99.0
69.64,lying,98.0
69.75,lying,98.0
69.86,lying,98.0
69.97,lying,98.0
70.08,lying,98.0
70.19,lying,98.0
70.3,lying,98.0
70.41,lying,98.0
70.52,lying,98.0
70.63,lying,98.0
70.73,lying,98.0
70.84,lying,98.0
70.95,lying,98.0
71.06,lying,98.0
71.17,lying,98.0
71.28,lying,98.0
71.39,lying,97.0
71.5,lying,97.0
71.61,lying,97.0
71.72,lying,97.0
71.83,lying,97.0
71.94,lying,97.0
72.05,lying,97.0
72.16,lying,97.0
72.27,lying,96.0
72.38,lying,96.0
72.48,lying,96.0
72.59,lying,96.0
72.7,lying,96.0
72.81,lying,96.0
72.92,lying,96.0
73.03,lying,96.0
73.14,lying,96.0
73.25,lying,96.0
73.36,lying,96.0
73.47,lying,96.0
73.58,lying,96.0
73.69,lying,96.0
73.8,lying,96.0
73.91,lying,96.0
74.02,lying,95.0
74.13,lying,95.0
74.23,lying,95.0
74.34,lying,95.0
74.45,lying,95.0
74.56,lying,95.0
74.67,lying,95.0
74.78,lying,95.0
74.89,lying,95.0
75.0,lying,95.0
75.11,lying,95.0
75.22,lying,95.0
75.33,lying,95.0
75.44,lying,95.0
75.55,lying,95.0
75.66,lying,95.0
75.77,lying,95.0
75.88,lying,95.0
75.98,lying,95.0
76.09,lying,95.0
76.2,lying,95.0
76.31,lying,95.0
76.42,lying,95.0
76.53,lying,95.0
76.64,lying,94.0
76.75,lying,94.0
76.86,lying,94.0
76.97,lying,94.0
77.08,lying,94.0
77.19,lying,94.0
77.3,lying,94.0
77.41,lying,94.0
77.52,lying,94.0
77.63,lying,94.0
77.73,lying,94.0
77.84,lying,94.0
77.95,lying,94.0
78.06,lying,94.0
78.17,lying,94.0
78.28,lying,94.0
78.39,lying,94.0
78.5,lying,94.0
78.61,lying,94.0
78.72,lying,94.0
78.83,lying,94.0
78.94,lying,94.0
79.05,lying,94.0
79.16,lying,94.0
79.27,lying,94.0
79.38,lying,94.0
79.48,lying,94.0
79.59,lying,94.0
79.7,lying,94.0
79.81,lying,94.0
79.92,lying,94.0
80.03,lying,94.0
80.14,lying,94.0
80.25,lying,94.0
80.36,lying,94.0
80.47,lying,94.0
80.58,lying,94.0
80.69,lying,94.0
80.8,lying,94.0
80.91,lying,94.0
81.02,lying,93.0
81.13,lying,93.0
81.23,lying,93.0
81.34,lying,93.0
81.45,lying,93.0
81.56,lying,93.0
81.67,lying,93.0
81.78,lying,93.0
81.89,lying,93.0
82.0,lying,93.0
82.11,lying,93.0
82.22,lying,93.0
82.33,lying,93.0
82.44,lying,93.0
82.55,lying,93.0
82.66,lying,93.0
82.77,lying,93.0
82.88,lying,93.0
82.98,lying,93.0
83.09,lying,93.0
83.2,lying,93.0
83.31,lying,93.0
83.42,lying,93.0
83.53,lying,93.0
83.64,lying,93.0
83.75,lying,93.0
83.86,lying,93.0
83.97,lying,93.0
84.08,lying,93.0
84.19,lying,93.0
84.3,lying,93.0
84.41,lying,93.0
84.52,lying,93.0
84.63,lying,93.0
84.73,lying,93.0
84.84,lying,93.0
84.95,lying,93.0
85.06,lying,93.0
85.17,lying,93.0
85.28,lying,93.0
85.39,lying,93.0
85.5,lying,93.0
85.61,lying,93.0
85.72,lying,93.0
85.83,lying,93.0
85.94,lying,93.0
86.05,lying,93.0
86.16,lying,93.0
86.27,lying,93.0
86.38,lying,93.0
86.48,lying,93.0
86.59,lying,93.0
86.7,lying,93.0
86.81,lying,93.0
86.92,lying,93.0
87.03,lying,93.0
87.14,lying,93.0
87.25,lying,93.0
87.36,lying,93.0
87.47,lying,93.0
87.58,lying,93.0
87.69,lying,93.0
87.8,lying,93.0
87.91,lying,93.0
88.02,lying,92.0
88.13,lying,92.0
88.23,lying,92.0
88.34,lying,92.0
88.45,lying,92.0
88.56,lying,92.0
88.67,lying,92.0
88.78,lying,92.0
88.89,lying,92.0
89.0,lying,92.0
89.11,lying,92.0
89.22,lying,92.0
89.33,lying,92.0
89.44,lying,92.0
89.55,lying,92.0
89.66,lying,92.0
89.77,lying,92.0
89.88,lying,92.0
89.98,lying,92.0
90.09,lying,92.0
90.2,lying,92.0
90.31,lying,92.0
90.42,lying,92.0
90.53,lying,92.0
90.64,lying,92.0
90.75,lying,92.0
90.86,lying,92.0
90.97,lying,92.0
91.08,lying,92.0
91.19,lying,92.0
91.3,lying,92.0
91.41,lying,92.0
91.52,lying,92.0
91.63,lying,92.0
91.73,lying,92.0
91.84,lying,92.0
91.95,lying,92.0
92.06,lying,92.0
92.17,lying,92.0
92.28,lying,92.0
92.39,lying,92.0
92.5,lying,92.0
92.61,lying,92.0
92.72,lying,92.0
92.83,lying,92.0
92.94,lying,92.0
93.05,lying,92.0
93.16,lying,92.0
93.27,lying,92.0
93.38,lying,92.0
93.48,lying,92.0
93.59,lying,92.0
93.7,lying,92.0
93.81,lying,92.0
93.92,lying,92.0
94.03,lying,92.0
94.14,lying,92.0
94.25,lying,92.0
94.36,lying,92.0
94.47,lying,92.0
94.58,lying,92.0
94.69,lying,92.0
94.8,lying,92.0
94.91,lying,92.0
95.02,lying,92.0
95.13,lying,92.0
95.23,lying,92.0
95.34,lying,92.0
95.45,lying,92.0
95.56,lying,92.0
95.67,lying,92.0
95.78,lying,92.0
95.89,lying,92.0
96.0,lying,92.0
96.11,lying,92.0
96.22,lying,92.0
96.33,lying,92.0
96.44,lying,92.0
96.55,lying,92.0
96.66,lying,92.0
96.77,lying,92.0
96.88,lying,92.0
96.98,lying,92.0
97.09,lying,92.0
97.2,lying,92.0
97.31,lying,92.0
97.42,lying,92.0
97.53,lying,92.0
97.64,lying,91.0
97.75,lying,91.0
97.86,lying,91.0
97.97,lying,91.0
98.08,lying,91.0
98.19,lying,91.0
98.3,lying,91.0
98.41,lying,91.0
98.52,lying,91.0
98.63,lying,91.0
98.73,lying,91.0
98.84,lying,91.0
98.95,lying,91.0
99.06,lying,91.0
99.17,lying,91.0
99.28,lying,91.0
99.39,lying,91.0
99.5,lying,91.0
99.61,lying,91.0
99.72,lying,91.0
99.83,lying,91.0
99.94,lying,91.0
100.05,lying,91.0
100.16,lying,91.0
100.27,lying,91.0
100.38,lying,91.0
100.48,lying,91.0
100.59,lying,91.0
100.7,lying,91.0
100.81,lying,91.0
100.92,lying,91.0
101.03,lying,91.0
101.14,lying,91.0
101.25,lying,91.0
101.36,lying,91.0
101.47,lying,91.0
101.58,lying,91.0
101.69,lying,91.0
101.8,lying,91.0
101.91,lying,91.0
102.02,lying,91.0
102.13,lying,91.0
102.23,lying,91.0
102.34,lying,91.0
102.45,lying,91.0
102.56,lying,91.0
102.67,lying,91.0
102.78,lying,91.0
102.89,lying,91.0
103.0,lying,91.0
103.11,lying,91.0
103.22,lying,91.0
103.33,lying,91.0
103.44,lying,91.0
103.55,lying,91.0
103.66,lying,91.0
103.77,lying,91.0
103.88,lying,91.0
103.98,lying,91.0
104.09,lying,91.0
104.2,lying,91.0
104.31,lying,91.0
104.42,lying,91.0
104.53,lying,91.0
104.64,lying,91.0
104.75,lying,91.0
104.86,lying,91.0
104.97,lying,91.0
105.08,lying,91.0
105.19,lying,91.0
105.3,lying,91.0
105.41,lying,91.0
105.52,lying,91.0
105.63,lying,91.0
105.73,lying,91.0
105.84,lying,91.0
105.95,lying,91.0
106.06,lying,91.0
106.17,lying,91.0
106.28,lying,90.0
106.39,lying,90.0
106.5,lying,90.0
106.61,lying,90.0
106.72,lying,90.0
106.83,lying,90.0
106.94,lying,90.0
107.05,lying,90.0
107.16,lying,90.0
107.27,lying,90.0
107.38,lying,90.0
107.48,lying,90.0
107.59,lying,90.0
107.7,lying,90.0
107.81,lying,90.0
107.92,lying,90.0
108.03,lying,90.0
108.14,lying,90.0
108.25,lying,90.0
108.36,lying,90.0
108.47,lying,90.0
108.58,lying,90.0
108.69,lying,90.0
108.8,lying,90.0
108.91,lying,90.0
109.02,lying,90.0
109.13,lying,90.0
109.23,lying,90.0
109.34,lying,90.0
109.45,lying,90.0
109.56,lying,90.0
109.67,lying,90.0
109.78,lying,90.0
109.89,lying,90.0
110.0,lying,90.0
110.11,lying,90.0
110.22,lying,90.0
110.33,lying,90.0
110.44,lying,90.0
110.55,lying,90.0
110.66,lying,90.0
110.77,lying,90.0
110.88,lying,90.0
110.98,lying,90.0
111.09,lying,90.0
111.2,lying,90.0
111.31,lying,90.0
111.42,lying,90.0
111.53,lying,90.0
111.64,lying,90.0
111.75,lying,90.0
111.86,lying,90.0
111.97,lying,90.0
112.08,lying,90.0
112.19,lying,90.0
112.3,lying,90.0
112.41,lying,90.0
112.52,lying,90.0
112.63,lying,90.0
112.73,lying,90.0
112.84,lying,90.0
112.95,lying,90.0
113.06,lying,90.0
113.17,lying,90.0
113.28,lying,90.0
113.39,lying,90.0
113.5,lying,90.0
113.61,lying,90.0
113.72,lying,90.0
113.83,lying,90.0
113.94,lying,90.0
114.05,lying,90.0
114.16,lying,90.0
114.27,lying,90.0
114.38,lying,90.0
114.48,lying,90.0
114.59,lying,90.0
114.7,lying,90.0
114.81,lying,90.0
114.92,lying,90.0
115.03,lying,90.0
115.14,lying,90.0
115.25,lying,90.0
115.36,lying,90.0
115.47,lying,90.0
115.58,lying,90.0
115.69,lying,90.0
115.8,lying,90.0
115.91,lying,90.0
116.02,lying,90.0
116.13,lying,90.0
116.23,lying,90.0
116.34,lying,90.0
116.45,lying,90.0
116.56,lying,90.0
116.67,lying,90.0
116.78,lying,90.0
116.89,lying,90.0
117.0,lying,90.0
117.11,lying,90.0
117.22,lying,90.0
117.33,lying,90.0
117.44,lying,90.0
117.55,lying,90.0
117.66,lying,90.0
117.77,lying,89.0
117.88,lying,89.0
117.98,lying,89.0
118.09,lying,89.0
118.2,lying,89.0
118.31,lying,89.0
118.42,lying,89.0
118.53,lying,89.0
118.64,lying,89.0
118.75,lying,89.0
118.86,lying,89.0
118.97,lying,89.0
119.08,lying,89.0
119.19,lying,89.0
119.3,lying,89.0
119.41,lying,89.0
119.52,lying,89.0
119.63,lying,89.0
119.73,lying,89.0
119.84,lying,89.0
119.95,lying,89.0
120.06,lying,89.0
120.17,lying,89.0
120.28,lying,89.0
120.39,lying,89.0
120.5,lying,89.0
120.61,lying,89.0
120.72,lying,89.0
120.83,lying,89.0
120.94,lying,89.0
121.05,lying,89.0
121.16,lying,89.0
121.27,lying,89.0
121.38,lying,89.0
121.48,lying,89.0
121.59,lying,89.0
121.7,lying,89.0
121.81,lying,89.0
121.92,lying,89.0
122.03,lying,89.0
122.14,lying,89.0
122.25,lying,89.0
122.36,lying,89.0
122.47,lying,89.0
122.58,lying,89.0
122.69,lying,89.0
122.8,lying,89.0
122.91,lying,89.0
123.02,lying,89.0
123.13,lying,89.0
123.23,lying,89.0
123.34,lying,89.0
123.45,lying,89.0
123.56,lying,89.0
123.67,lying,89.0
123.78,lying,88.0
123.89,lying,88.0
124.0,lying,88.0
124.11,lying,88.0
124.22,lying,88.0
124.33,lying,88.0
124.44,lying,88.0
124.55,lying,88.0
124.66,lying,88.0
124.77,lying,88.0
124.88,lying,88.0
124.98,lying,88.0
125.09,lying,88.0
125.2,lying,88.0
125.31,lying,88.0
125.42,lying,88.0
125.53,lying,88.0
125.64,lying,88.0
125.75,lying,88.0
125.86,lying,88.0
125.97,lying,88.0
126.08,lying,88.0
126.19,lying,88.0
126.3,lying,88.0
126.41,lying,88.0
126.52,lying,88.0
126.63,lying,88.0
126.73,lying,88.0
126.84,lying,88.0
126.95,lying,88.0
127.06,lying,88.0
127.17,lying,88.0
127.28,lying,88.0
127.39,lying,88.0
127.5,lying,88.0
127.61,lying,88.0
127.72,lying,88.0
127.83,lying,88.0
127.94,lying,88.0
128.05,lying,88.0
128.16,lying,88.0
128.26,lying,88.0
128.38,lying,88.0
128.48,lying,88.0
128.59,lying,88.0
128.7,lying,88.0
128.81,lying,88.0
128.92,lying,88.0
129.03,lying,88.0
129.14,lying,88.0
129.25,lying,88.0
129.36,lying,88.0
129.47,lying,88.0
129.58,lying,88.0
129.69,lying,88.0
129.8,lying,88.0
129.91,lying,88.0
130.01,lying,88.0
130.13,lying,88.0
130.23,lying,88.0
130.34,lying,88.0
130.45,lying,88.0
130.56,lying,88.0
130.67,lying,88.0
130.78,lying,88.0
130.89,lying,88.0
131.0,lying,88.0
131.11,lying,88.0
131.22,lying,88.0
131.33,lying,88.0
131.44,lying,88.0
131.55,lying,88.0
131.66,lying,88.0
131.76,lying,87.0
131.88,lying,87.0
131.98,lying,87.0
132.09,lying,87.0
132.2,lying,87.0
132.31,lying,87.0
132.42,lying,87.0
132.53,lying,87.0
132.64,lying,87.0
132.75,lying,87.0
132.86,lying,87.0
132.97,lying,87.0
133.08,lying,87.0
133.19,lying,87.0
133.3,lying,87.0
133.41,lying,87.0
133.51,lying,87.0
133.63,lying,87.0
133.73,lying,87.0
133.84,lying,87.0
133.95,lying,87.0
134.06,lying,87.0
134.17,lying,87.0
134.28,lying,87.0
134.39,lying,87.0
134.5,lying,87.0
134.61,lying,87.0
134.72,lying,87.0
134.83,lying,87.0
134.94,lying,87.0
135.05,lying,87.0
135.16,lying,87.0
135.26,lying,87.0
135.38,lying,87.0
135.48,lying,87.0
135.59,lying,87.0
135.7,lying,87.0
135.81,lying,87.0
135.92,lying,87.0
136.03,lying,87.0
136.14,lying,86.0
136.25,lying,86.0
136.36,lying,86.0
136.47,lying,86.0
136.58,lying,86.0
136.69,lying,86.0
136.8,lying,86.0
136.91,lying,86.0
137.01,lying,86.0
137.13,lying,86.0
137.23,lying,86.0
137.34,lying,86.0
137.45,lying,86.0
137.56,lying,86.0
137.67,lying,86.0
137.78,lying,86.0
137.89,lying,86.0
138.0,lying,86.0
138.11,lying,86.0
138.22,lying,86.0
138.33,lying,86.0
138.44,lying,86.0
138.55,lying,86.0
138.66,lying,86.0
138.76,lying,86.0
138.88,lying,86.0
138.98,lying,86.0
139.09,lying,86.0
139.2,lying,86.0
139.31,lying,86.0
139.42,lying,86.0
139.53,lying,86.0
139.64,lying,86.0
139.75,lying,86.0
139.86,lying,86.0
139.97,lying,86.0
140.08,lying,86.0
140.19,lying,86.0
140.3,lying,86.0
140.41,lying,86.0
140.51,lying,86.0
140.63,lying,86.0
140.73,lying,86.0
140.84,lying,86.0
140.95,lying,86.0
141.06,lying,86.0
141.17,lying,86.0
141.28,lying,87.0
141.39,lying,87.0
141.5,lying,87.0
141.61,lying,87.0
141.72,lying,87.0
141.83,lying,87.0
141.94,lying,87.0
142.05,lying,87.0
142.16,lying,87.0
142.26,lying,87.0
142.38,lying,87.0
142.48,lying,87.0
142.59,lying,87.0
142.7,lying,87.0
142.81,lying,87.0
142.92,lying,87.0
143.03,lying,87.0
143.14,lying,87.0
143.25,lying,87.0
143.36,lying,87.0
143.47,lying,87.0
143.58,lying,87.0
143.69,lying,87.0
143.8,lying,87.0
143.91,lying,87.0
144.01,lying,87.0
144.13,lying,87.0
144.23,lying,87.0
144.34,lying,87.0
144.45,lying,87.0
144.56,lying,87.0
144.67,lying,87.0
144.78,lying,87.0
144.89,lying,87.0
145.0,lying,87.0
145.11,lying,87.0
145.22,lying,87.0
145.33,lying,87.0
145.44,lying,87.0
145.55,lying,87.0
145.66,lying,87.0
145.76,lying,87.0
145.88,lying,87.0
145.98,lying,87.0
146.09,lying,87.0
146.2,lying,87.0
146.31,lying,87.0
146.42,lying,87.0
146.53,lying,87.0
146.64,lying,87.0
146.75,lying,87.0
146.86,lying,87.0
146.97,lying,87.0
147.08,lying,87.0
147.19,lying,87.0
147.3,lying,87.0
147.41,lying,87.0
147.51,lying,87.0
147.63,lying,87.0
147.73,lying,87.0
147.84,lying,87.0
147.95,lying,87.0
148.06,lying,87.0
148.17,lying,87.0
148.28,lying,87.0
148.39,lying,86.0
148.5,lying,86.0
148.61,lying,86.0
148.72,lying,86.0
148.83,lying,86.0
148.94,lying,86.0
149.05,lying,86.0
149.16,lying,86.0
149.26,lying,86.0
149.38,lying,86.0
149.48,lying,86.0
149.59,lying,86.0
149.7,lying,86.0
149.81,lying,86.0
149.92,lying,86.0
